"","Index_AI","Index_HM","Eco","Popu","Gover","Area"
"1",-6.90775527898214,-6.90775527898214,-2.35739639991629,0.46436274935565,-2.79688141480883,-0.810042043033008
"2",-2.40156272545299,-1.74278771040989,-2.53181857535242,0.513422249613257,-2.64507540194082,-0.824379318768614
"3",-1.40807342233286,-1.30516227725039,-2.73066345430952,0.399447035782601,-2.64507540194082,-0.805466724448234
"4",-1.11370067995625,-0.943448834418183,-2.54677931308431,0.501381164937991,-2.64507540194082,-0.782603701824052
"5",-0.691068472023185,-0.632043517773725,-2.21628970643106,0.445326641533295,-2.64507540194082,-0.786859892847303
"6",-0.479258606185431,-0.424295294552707,-2.29558545769907,0.322807874427155,-2.64507540194082,-0.78821321043528
"7",-0.303296932806473,-0.264082039227031,-2.65444949758179,0.285930539412975,-2.64507540194082,-0.799341814715872
"8",-0.297282581033889,-0.312012516542605,-3.65047445818289,0.140631129739745,-2.5133061243097,-0.814426311797911
"9",-0.288543029046375,-0.123917702981508,-2.01109198427502,0.0305292050348228,-2.5133061243097,-0.816142328009124
"10",-0.312226875391807,-0.0661025378877161,-2.91524456952141,-0.0608121393967575,-2.5133061243097,-0.855285772407248
