时间,收入累计值,year,收入
2014Q1,5562,2014,5562
2014Q2,10025,2014,4463
2014Q3,14986,2014,4961
2014Q4,20167,2014,5181
2015Q1,6087,2015,6087
2015Q2,10931,2015,4844
2015Q3,16367,2015,5436
2015Q4,21966,2015,5599
2016Q1,6619,2016,6619
2016Q2,11886,2016,5267
2016Q3,17735,2016,5849
2016Q4,23821,2016,6086
2017Q1,7184,2017,7184
2017Q2,12932,2017,5748
2017Q3,19342,2017,6410
2017Q4,25974,2017,6632
2018Q1,7815,2018,7815
2018Q2,14063,2018,6248
2018Q3,21035,2018,6972
2018Q4,28228,2018,7193
2019Q1,8493,2019,8493
2019Q2,15294,2019,6801
2019Q3,22882,2019,7588
2019Q4,30733,2019,7851
2020Q1,8561,2020,8561
2020Q2,15666,2020,7105
2020Q3,23781,2020,8115
2020Q4,32189,2020,8408
2021Q1,9730,2021,9730
2021Q2,17642,2021,7912
2021Q3,26265,2021,8623
2021Q4,35128,2021,8863
2022Q1,10345,2022,10345
2022Q2,18463,2022,8118
2022Q3,27650,2022,9187
2022Q4,36883,2022,9233
2023Q1,10870,2023,10870
2023Q2,19672,2023,8802
2023Q3,29398,2023,9726
2023Q4,39218,2023,9820
