时间,资产
2014Q1,491895582598.9998
2014Q2,497977502126.9201
2014Q3,510565125667.39984
2014Q4,530499143447.5403
2015Q1,550535207582.1699
2015Q2,571260711008.12
2015Q3,565764940097.7101
2015Q4,600509091484.3802
2016Q1,632292855388.56
2016Q2,670522628286.9602
2016Q3,690226220569.7703
2016Q4,777869177617.5
2017Q1,793498889355.9
2017Q2,802986632501.1399
2017Q3,840466389917.17
2017Q4,878930595121.48
2018Q1,889786588643.8003
2018Q2,891690294527.74
2018Q3,914165872315.2605
2018Q4,949008000463.2803
2019Q1,1004337130932.2195
2019Q2,997972847923.25
2019Q3,1036960938146.4299
2019Q4,1068680287009.8798
2020Q1,1078953475008.3599
2020Q2,1154196487547.61
2020Q3,1170769766355.11
2020Q4,1221524217184.3398
2021Q1,1299195703590.8804
2021Q2,1352203211284.73
2021Q3,1450664058331.4695
2021Q4,1442534610617.5396
2022Q1,1464857988922.0898
2022Q2,1521192443199.7803
2022Q3,1505611253132.97
2022Q4,1508645950171.8901
2023Q1,1520256748895.6106
2023Q2,1555634993934.3699
2023Q3,1567869756729.2305
2023Q4,1609752074481.0603
