时间,城镇居民人均可支配收入中位数:年,出生率:年,妇幼保健所、站数:年,CPI(上年=100):年,在岗职工平均工资:年,城镇居民人均消费性现金支出:年,城镇家庭平均每人可支配收入:年,收入法全国生产总值GDP:中国:年,城镇单位就业人员平均工资:年,城镇非私营单位就业人员平均工资增长指数(上年=100):年,城镇非私营单位就业人员平均实际工资增长指数(上年=100):年,城镇居民人均现金可支配收入:年,城镇居民人均消费性支出:年
2023-12-31 00:00:00,47121.597,6.39,,100.2,,,51821,,,,,,32994
2022-12-31 00:00:00,45123.157895,6.77,3031,102,117177,24375.331,49282.9371,,114029,106.7318,104.639,45354.2442,30390.8017
2021-12-31 00:00:00,43504,7.52,3032,100.9,110221,24380.4,47411.9,,106837,109.7126,108.6263,43596.4,30307.2
2020-12-31 00:00:00,40378,8.52,3052,102.5,100512,21555.6446,43833.7622,,97379,107.5999,105.1808,40377.8279,27007.447
2019-12-31 00:00:00,39244,10.41,3071,102.9,93383,22797.9772,42358.8024,,90501,109.813986,106.822943,39147.5873,28063.3523
2018-12-31 00:00:00,36413,10.86,3080,102.104529,84744,21287.1178,39250.839,,82413,110.9,108.6115,36316.1997,26112.3078
2017-12-31 00:00:00,33834,12.64,3077,101.557722,76121,20329.4176,36396.1942,847140.095982,74318,109.988308,108.1613,33757.3031,24444.9538
2016-12-31 00:00:00,31554,13.57,3063,102.002848,68993,19284.0569,33616.2465,780069.97,67569,108.931306,106.6601,31269.9898,23078.8969
2015-12-31 00:00:00,29129,11.99,3078,101.440824,63241,17886.9513,31194.8279,722767.868207,62029,110.0586,108.5,29042.0018,21392.3629
2014-12-31 00:00:00,26635,13.83,3098,101.988427,57361,16690.5829,28843.8538,684349.413879,56360,109.473,107.221381,26860.2105,19968.0848
2013-12-31 00:00:00,24138,13.03,3144,102.624015,52388,15452.9673,26467.0038,,51483,110.1,107.309942,24799.0098,18487.5389
2012-12-31 00:00:00,21986,14.57,3044,102.646286,47593,16674.32,24126.7145,576551.84501,46769,111.890237,108.974919,,17106.6232
2011-12-31 00:00:00,19118,13.27,3036,105.393433,42452,15160.89,21426.9223,521441.11,41799,114.395577,108.637775,,15553.9555
2010-12-31 00:00:00,16839,11.9,3025,103.3222,37147,13471.45,18779.073,437041.99,36539,113.3,109.786822,,13820.7146
2009-12-31 00:00:00,,11.95,3020,99.3061,32736,12264.55,16900.5173,365303.69,32244,111.6,112.613522,,12557.6863
2008-12-31 00:00:00,,12.14,3011,105.86457,29229,11242.85,15549.3816,,28898,116.9,110.700758,,11488.9983
2007-12-31 00:00:00,,12.1,3051,104.7727,24932,9997.47,13602.5388,275624.62,24721,118.5,113.397129,,10195.7052
2006-12-31 00:00:00,,12.09,3003,101.4678,21001,8696.55,11619.6805,231053.34,20856,114.593407,112.899908,,8850.6675
2005-12-31 00:00:00,,12.4,3021,101.81,18364,7942.88,10382.3377,197789.03,18200,114.321608,112.521268,,8067.7351
2004-12-31 00:00:00,,12.29,2998,103.8786,16024,7182.1,9334.8442,,15920,113.96664,110.325886,,7280.4975
2003-12-31 00:00:00,,12.41,3033,101.1689,14040,6510.94,8405.5039,135539.141025,13969,112.899054,111.892026,,6587.0582
2002-12-31 00:00:00,,12.86,3067,99.2493,12422,6029.88,7652.3595,118020.686352,12373,114.20528,115.358868,,6088.5361
2001-12-31 00:00:00,,13.38,3132,100.7262,10870,5309.01,6823.966,106766.260639,10834,116.082717,115.275787,,5349.7121
2000-12-31 00:00:00,,14.03,3163,100.4,9371,4998,6255.6566,97209.367503,9333,112.188965,111.298576,,5026.7032
