时间,市场规模:综合医院:中国:年,市场规模:整形外科医院:中国:年,市场规模:中医院:中国:年,市场规模:医疗和兽医仪器制造:中国:年,市场规模:医疗器械制造:中国:年,市场规模:医疗用品制造业:中国:年,市场规模:医药制造:中国:年,市场规模:医药原料制造:中国:年,市场规模:医学研究:中国:年
2028-12-31 00:00:00,,,,40676.6,,71751.6,,,23156.2
2027-12-31 00:00:00,670.3,5529.8,124132.6,38446.7,56729.1,68530.7,200700.9,117524.6,22023.4
2026-12-31 00:00:00,629.4,4937.3,117772.9,36202.2,51292.1,65205.2,194477.6,113439.3,20764.2
2025-12-31 00:00:00,591.1,4384.8,111316.5,33992.7,46209.1,61864.5,187901.1,109497.4,19939.9
2024-12-31 00:00:00,532.5,3908,118220.6,31928.4,41543.1,57905,197465.8,149580.4,18857.1
2023-12-31 00:00:00,506.1,3504.9,106987,30118.4,37669.8,54627.4,191714.4,139794.8,17784.3
2022-12-31 00:00:00,478.8,3160.4,96471.6,28514.8,33942.9,51202.7,185714.1,129828.7,16709.3
2021-12-31 00:00:00,474.1,2865.3,86677.1,27378.4,30020.3,50106.2,197202.4,122155.9,15665.6
2020-12-31 00:00:00,419.2,2623.9,78419.5,26144.8,26333.7,54761,190497.4,110197.6,14526.3
2019-12-31 00:00:00,414.3,2555.7,83731.4,23990.7,22982.1,46834.3,186351.8,106728,13456.7
2018-12-31 00:00:00,390.4,2311,71889.8,22745.9,20438.2,44263.6,176942.2,107612.4,12704.6
2017-12-31 00:00:00,359.4,1745.1,63885.2,22539.8,18471.3,42455.3,150021.6,98677.8,11949
2016-12-31 00:00:00,345,1296.2,57919,22417.7,16839.6,40417.1,140943.9,91252.1,11243.4
2015-12-31 00:00:00,330,1039.8,50884.4,21209.7,15233.6,37738.5,136282.4,89626.8,10240.6
2014-12-31 00:00:00,303,839.5,43146.4,19380.2,13450.4,32920.5,127148.3,83975.9,9165.7
2013-12-31 00:00:00,250.2,650.3,36791.4,16766.2,11465.4,26894.8,104029.3,66424.4,8232.2
2012-12-31 00:00:00,216,483.3,31381.5,15335.6,8982,21582.7,89582.4,57933.3,7455.4
2011-12-31 00:00:00,176.6,,25375.7,14355.8,7456.4,18075.8,75277.7,50668.5,6778.7
2010-12-31 00:00:00,151,,21313.1,14272.8,6447.5,12521.8,64639.4,41484.5,6133.4
2009-12-31 00:00:00,134.9,,18296,13800.9,5533.2,10803.7,55754.6,34955.7,5471.4
2008-12-31 00:00:00,108.1,,14460.6,10135.7,5281.4,8139.7,44209.2,29813.2,4731.9
2007-12-31 00:00:00,86.3,,11382.6,6089.9,4078.1,6033.7,32569.5,26066.9,4008.9
2006-12-31 00:00:00,74.6,,9348,5049.9,3095.1,4429.2,28033.6,21353.3,3304
2005-12-31 00:00:00,68.1,,8322.4,4045.9,2593.4,3130.9,25026.1,22058,2659
2004-12-31 00:00:00,64,,7336.9,3974.4,2289.7,2753.8,20625.2,15978.6,1950.7
